TrialType,CondType,Lag,T1_PA,T2_PA,T1Loc,T2Loc,PreDistractor,PostDistractor,TotalImg,cueWord,T1cue,StimLength,isi,PicFolder,Img1,Img2,Img3,Img4,Img5,Img6,Img7,Img8,Img9,Img10,Img11,Img12,Img13,Img14,Img15,Img16,Img17,T1_Identity,Practice_Trials.thisRepN,Practice_Trials.thisTrialN,Practice_Trials.thisN,Practice_Trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Practice_Ins.started,Practice_Ins.stopped,End_Prac_Ins.keys,End_Prac_Ins.rt,End_Prac_Ins.started,End_Prac_Ins.stopped,text_2.started,text_2.stopped,Fixation_Cross_2.started,Fixation_Cross_2.stopped,Rapid_Image_Present_2.started,Rapid_Image_Present_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,T1Response_2.started,T1Response_2.stopped,T2Response_2.started,T2Response_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,missingImage,text.started,text.stopped,End_Instructions.keys,End_Instructions.rt,End_Instructions.started,End_Instructions.stopped,text_1.started,text_1.stopped,Fixation_Cross.started,Fixation_Cross.stopped,Rapid_Image_Present.started,Rapid_Image_Present.stopped,T1Response.started,T1Response.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,T2Response.started,T2Response.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.343885200010845,None,space,0.6577622000186238,24.343885200010845,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MissingImages,001,2022-06-15_10h12.11.616,ABstudy,2022.1.4,60.08882329990377,
AB,Lag1_T1P_T2P,1,P,P,8,9,7,5,14,Tennis racket,Did you see the Tennis racket?,0.05,0.016,JPG\,coconut,computermouse06,croissant01,deodorant02a,pillow01a,peanut01,boot02b,tennisracket,blender,crayon,eggplant,marker01a,plant01,radish01,blankImage,blankImage,blankImage,tennisracket,0,0,0,0,,,,,,,,,,,25.112672900024336,26.116066100017633,26.116066100017633,26.927681400004076,26.927681400004076,None,right,0.5329714999825228,27.514810600026976,None,27.514810600026976,None,28.06586650002282,None,right,0.14245149999624118,28.06586650002282,None,,,,,,,,,,,,,,,,,,,,,,,,,,MissingImages,001,2022-06-15_10h12.11.616,ABstudy,2022.1.4,60.08882329990377,
AB,Lag1_T1P_T2P,1,P,P,6,7,5,5,12,triangle,Did you see the triangle?,0.05,0.016,JPG\,ginger,mousetrap,plum01,slipper01b,coffeebeans,triangle,blender,pants,raspberry01,rope03,scale01a,vase01,blankImage,blankImage,blankImage,blankImage,blankImage,triangle,0,1,1,1,,,,,,,,,,,28.235956300020916,29.249153900018428,29.23250850001932,29.85462960001314,29.85462960001314,None,right,0.26378040001145564,30.516713900025934,None,30.516713900025934,None,30.799234000005526,None,right,0.13258790000691079,30.799234000005526,None,,,,,,,,,,,,,,,,,,,,,,,,,,MissingImages,001,2022-06-15_10h12.11.616,ABstudy,2022.1.4,60.08882329990377,
AB,Lag5_T1P_T2P,5,P,P,7,12,6,3,15,vacuum,Did you see the vacuum?,0.05,0.016,JPG\,fork07b,lightbulb01,manshoe,saw02b,shoelace,soap03a,vacuumcleaner01,floortile01,necklace,doll,cabbage,blender,hanger02a,laptop01a,nailpolish03b,blankImage,blankImage,vacuumcleaner01,0,2,2,2,,,,,,,,,,,30.957278800022323,31.965800400008447,31.94915120000951,32.56593609999982,32.56593609999982,None,right,0.3445015999895986,33.39770640002098,None,33.39770640002098,None,33.76601700001629,None,right,0.12102489999961108,33.76601700001629,None,,,,,,,,,,,,,,,,,,,,,,,,,,MissingImages,001,2022-06-15_10h12.11.616,ABstudy,2022.1.4,60.08882329990377,
AB,Lag5_T1P_T2P,5,P,P,5,10,4,5,15,Vulture,Did you see the Vulture?,0.05,0.016,JPG\,shorts01,toast,ramekin01,bib,vulture,cracker02,date,glasses01a,hat03b,blender,measuringtape01,nail,pill,brie,starfish01,blankImage,blankImage,vulture,0,3,3,3,,,,,,,,,,,33.931501400016714,34.93260120000923,34.93260120000923,35.56736630000523,35.56736630000523,None,right,0.3707093000120949,36.39152050000848,None,36.39152050000848,None,36.78244930002256,None,right,0.12735999998403713,36.78244930002256,None,resources\JPG\brie.jpg,,,,,,,,,,,,,,,,,,,,,,,,,MissingImages,001,2022-06-15_10h12.11.616,ABstudy,2022.1.4,60.08882329990377,
AB,Lag5_T1P_T2P,5,P,P,5,10,4,5,15,washing machine,Did you see the washing machine?,0.05,0.016,JPG\,waterbottle03,wheel01,flashlight02b,zucchini01,washingmachine,headphones02b,nutcracker01,paintroller01,paperclip03,blender,ribbon04,tambourine01,bottleofredwine01,pitabread,pot02a,blankImage,blankImage,washingmachine,0,4,4,4,,,,,,,,,,,36.939540800027316,37.949083300016355,37.915666700020665,38.54194430002826,38.54194430002826,None,right,0.29944940001587383,39.42207660002168,None,39.42207660002168,None,39.74902370001655,None,right,0.13907759997528046,39.74902370001655,None,,,,,,,,,,,,,,,,,,,,,,,,,,MissingImages,001,2022-06-15_10h12.11.616,ABstudy,2022.1.4,60.08882329990377,
AB,Lag1_T1P_T2A,1,P,A,8,9,7,5,14,flower,Did you see the flower?,0.05,0.016,JPG\,razor01,axe01,binder03b,bowl01,kettle01,lettuce,lime,plasticflower01b,mitten04,pencilcase,plunger02,strawbasket01,toothpick02,wallet02a,blankImage,blankImage,blankImage,plasticflower01b,0,5,5,5,,,,,,,,,,,39.95474610000383,40.965657700027805,40.949029200011864,41.572992300003534,41.572992300003534,None,right,0.3193994000030216,42.2752654000069,None,42.2752654000069,None,42.61567850000574,None,right,0.13172320000012405,42.61567850000574,None,,,,,,,,,,,,,,,,,,,,,,,,,,MissingImages,001,2022-06-15_10h12.11.616,ABstudy,2022.1.4,60.08882329990377,
AB,Lag1_T1P_T2A,1,P,A,5,6,4,5,11,Webcam,Did you see the Webcam?,0.05,0.016,JPG\,pictureframe04,stapleremover,straw,adjustablewrench01b,webcam,cane,hairdryer02a,icepack,kiwi01a,lifejacket,piggybank,blankImage,blankImage,blankImage,blankImage,blankImage,blankImage,webcam,0,6,6,6,,,,,,,,,,,42.77060350001557,43.78242030000547,43.7658726000227,44.39516870002262,44.39516870002262,None,right,0.3222185999911744,45.026476800005184,None,45.026476800005184,None,45.36561740000616,None,right,0.1218135999806691,45.36561740000616,None,,,,,,,,,,,,,,,,,,,,,,,,,,MissingImages,001,2022-06-15_10h12.11.616,ABstudy,2022.1.4,60.08882329990377,
AB,Lag5_T1P_T2A,5,P,A,6,11,5,5,16,Wheat,Did you see the Wheat?,0.05,0.016,JPG\,bottleopener01,dentalfloss03b,cooler01,icecreamcone01a,cup01,wheat,pencilsharpener02a,plasticbasket01a,toycar04,apricot,hairclip02,rock01a,honeydewmelon,antenna,blackberry,cardboardbox,blankImage,wheat,0,7,7,7,,,,,,,,,,,45.51538700002129,46.51538090000395,46.49869070001296,47.10851200000616,47.10851200000616,None,right,0.368423600011738,48.104944100021385,None,48.104944100021385,None,48.49866040001507,None,right,0.1193780999747105,48.49866040001507,None,,,,,,,,,,,,,,,,,,,,,,,,,,MissingImages,001,2022-06-15_10h12.11.616,ABstudy,2022.1.4,60.08882329990377,
AB,Lag5_T1P_T2A,5,P,A,6,11,5,5,16,bread,Did you see the bread?,0.05,0.016,JPG\,cleaver01,clipboard,dustpan,hikingshoe01,notebook03a,baguette01,playingcard,pliers02b,raisins,rollingpin01a,swimgoggles,wineglass01,fryingpan02a,safetypin,syringe01,thimble,blankImage,baguette01,0,8,8,8,,,,,,,,,,,48.68432340002619,49.699052900017705,49.682343500026036,50.28189160002512,50.28189160002512,None,right,0.4414902999997139,51.0708786000032,None,51.0708786000032,None,51.53204060002463,None,right,0.14725569999427535,51.53204060002463,None,resources\JPG\raisins.jpg,,,,,,,,,,,,,,,,,,,,,,,,,MissingImages,001,2022-06-15_10h12.11.616,ABstudy,2022.1.4,60.08882329990377,
