TrialType,CondType,Lag,T1_PA,T2_PA,T1Loc,T2Loc,PreDistractor,PostDistractor,TotalImg,cueWord,T1cue,StimLength,isi,PicFolder,Img1,Img2,Img3,Img4,Img5,Img6,Img7,Img8,Img9,Img10,Img11,Img12,Img13,Img14,Img15,Img16,Img17,T1_Identity,Distractor1,Distractor2,Distractor3,Distractor4,Distractor5,Distractor6,Distractor7,Distractor8,Distractor9,Distractor10,Distractor11,Distractor12,Distractor13,Distractor14,Distractor15,Distractor16,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,error1,error2,error3,error4,error5,error6,error7,error8,error9,error10,error11,error12,error13,error14,text_1.started,text_1.stopped,Fixation_Cross.started,Fixation_Cross.stopped,Rapid_Image_Present.started,Rapid_Image_Present.stopped,T1Response.started,T1Response.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,T2Response.started,T2Response.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,error15,error16,error17,error18,error19,error20,error21,error22,error23,error24,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.027889799996046,None,space,1.2444500000128755,22.027889799996046,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,errorPics,001,2022-06-14_17h52.29.952,ABstudy,2022.1.4,59.94129350195492,
AB,Lag1_T1P_T2P,1,P,P,6,7,5,5,12,tent,Did you see the tent?,0.2,0.016,JPG\,lamp04a,broccoli01a,umbrella04,garlic01a,staples,tent,blender,ring01,leaf02a,cellphone,medal02b,cd,None,None,None,None,None,tent,lamp04a,broccoli01a,umbrella04,garlic01a,staples,earrings01,avocado01,ring01,leaf02a,cellphone,medal02b,cd,calculator01,sunglasses04,strawberry,eraser,0,0,0,92,,,,,,,resources\JPG\umbrella04.jpg,resources\JPG\umbrella04.jpg,resources\JPG\umbrella04.jpg,resources\JPG\umbrella04.jpg,resources\JPG\umbrella04.jpg,resources\JPG\umbrella04.jpg,resources\JPG\staples.jpg,resources\JPG\staples.jpg,resources\JPG\staples.jpg,resources\JPG\staples.jpg,resources\JPG\staples.jpg,resources\JPG\staples.jpg,resources\JPG\staples.jpg,resources\JPG\staples.jpg,26.645126799994614,27.647296399998595,27.630785799992736,28.405864999993355,28.405864999993355,None,29.564283200001228,None,right,0.8073449000075925,29.564283200001228,None,30.39716490000137,None,left,0.07314110000152141,30.39716490000137,None,,,,,,,,,,,errorPics,001,2022-06-14_17h52.29.952,ABstudy,2022.1.4,59.94129350195492,
AB,Lag1_T1P_T2P,1,P,P,8,9,7,5,14,giraffe,Did you see the giraffe?,0.2,0.016,JPG\,pencil01,condom,banana01,lipstick02a,toaster01,grape01,key01,giraffe,blender,pineapple01a,strawberry,teabag,staples,paintbrush01,None,None,None,giraffe,pencil01,condom,banana01,lipstick02a,toaster01,grape01,key01,medal02b,mushroom01,pineapple01a,strawberry,teabag,staples,paintbrush01,brick,sewingmachine01a,0,1,1,0,,,,,,,,,,,,,,,,,,,,,30.506638599996222,31.51409369999601,31.497487599990563,32.13200369999686,32.13200369999686,None,33.26876409999386,None,right,0.5149969000049168,33.26876409999386,None,33.81369989999803,None,left,0.07070070000190753,33.81369989999803,None,,,,,,,,,,,errorPics,001,2022-06-14_17h52.29.952,ABstudy,2022.1.4,59.94129350195492,
AB,Lag5_T1A_T2P,5,A,P,5,10,4,5,15,None,Did you see the ?,0.2,0.016,JPG\,measuringcup01,dice05a,greenolive,lipstick02a,feather03a,balloon01b,lighter01,calculator01,carrot01,blender,microscope,brick,thermometer02b,screw02,speaker04,None,None,None,measuringcup01,dice05a,greenolive,lipstick02a,feather03a,balloon01b,lighter01,calculator01,carrot01,plate01b,microscope,brick,thermometer02b,screw02,speaker04,spoon01,0,2,2,437,,,,,,,,,,,,,,,,,,,,,33.91370079999615,34.914068700003554,34.897459599989816,35.529206799998065,35.529206799998065,None,36.60233090000111,None,right,0.4344658000045456,36.60233090000111,None,37.06381099999999,None,left,0.05175060000328813,37.06381099999999,None,,,,,,,,,,,errorPics,001,2022-06-14_17h52.29.952,ABstudy,2022.1.4,59.94129350195492,
AB,Lag1_T1A_T2P,1,A,P,7,8,6,3,11,None,Did you see the ?,0.2,0.016,JPG\,lipstick02a,cucumber,candle08b,printer02,grape01,violin,paintbrush01,blender,belt02a,balloon01b,thermometer02b,None,None,None,None,None,None,None,lipstick02a,cucumber,candle08b,printer02,grape01,violin,paintbrush01,lighter01,belt02a,balloon01b,thermometer02b,microscope,cigarette,book01b,pineapple01a,speaker04,0,3,3,395,,,,,,,,,,,,,,,,,,,,,37.147065099998144,38.1470677999896,38.13039789999311,38.74494429999322,38.74494429999322,None,39.85032709999359,None,right,0.46389120000822004,39.85032709999359,None,40.34688070000266,None,left,0.042929700008244254,40.34688070000266,None,,,,,,,,,,,errorPics,001,2022-06-14_17h52.29.952,ABstudy,2022.1.4,59.94129350195492,
AB,Lag1_T1P_T2A,1,P,A,7,8,6,4,12,gate,Did you see the gate?,0.2,0.016,JPG\,pen04b,speaker04,lighter01,cherry01,stapler03a,onion,entrancegate,toothbrush03b,broom01,sewingmachine01a,book01b,iron01b,None,None,None,None,None,entrancegate,pen04b,speaker04,lighter01,cherry01,stapler03a,onion,sock01a,toothbrush03b,broom01,sewingmachine01a,book01b,iron01b,clock01a,sandal,cd,blueberry01,0,4,4,278,,,,,,,,,,,,,,,,,,,,,40.41360679999343,41.41370140000072,41.39705749999848,42.0198226999928,42.0198226999928,None,43.128968999997596,None,right,0.458218300002045,43.128968999997596,None,43.613885899991146,None,left,0.042715199990198016,43.613885899991146,None,,,,,,,,,,,errorPics,001,2022-06-14_17h52.29.952,ABstudy,2022.1.4,59.94129350195492,
AB,Lag1_T1A_T2A,1,A,A,8,9,7,4,13,None,Did you see the ?,0.2,0.016,JPG\,pizza,strawberry,potato02b,speaker04,battery02b,iron01b,dice05a,cellphone,globe,banana01,medal02b,baseball01a,toaster01,None,None,None,None,None,pizza,strawberry,potato02b,speaker04,battery02b,iron01b,dice05a,cellphone,globe,banana01,medal02b,baseball01a,toaster01,broom01,ring01,cherry01,0,5,5,449,,,,,,,,,,,,,,,,,,,,,43.73836719999963,44.74692789999244,44.730285199999344,45.37180700000317,45.37180700000317,None,46.472721099999035,None,right,0.5014561999996658,46.472721099999035,None,46.99692559998948,None,left,0.03400020000117365,46.99692559998948,None,,,,,,,,,,,errorPics,001,2022-06-14_17h52.29.952,ABstudy,2022.1.4,59.94129350195492,
AB,Lag1_T1P_T2P,1,P,P,6,7,5,4,11,Tricycle,Did you see the Tricycle?,0.2,0.016,JPG\,candy,earrings01,dice05a,cd,sock01a,tricycle,blender,potato02b,feather03a,grape01,staples,None,None,None,None,None,None,tricycle,candy,earrings01,dice05a,cd,sock01a,blueberry01,button01,potato02b,feather03a,grape01,staples,scissors01,watch02a,candle08b,book01b,globe,0,6,6,94,,,,,,,,,,,,,,,,,,,,,47.06343259999994,48.06353630000376,48.06353630000376,49.08663869999873,49.08663869999873,None,50.13038210000377,None,right,0.21675669999967795,50.13038210000377,None,50.36361469999247,None,left,0.06351780000841245,50.36361469999247,None,,,,,,,,,,,errorPics,001,2022-06-14_17h52.29.952,ABstudy,2022.1.4,59.94129350195492,
AB,Lag5_T1P_T2A,5,P,A,7,12,6,5,17,stairs,Did you see the stairs?,0.2,0.016,JPG\,key01,apple07,ring01,leaf02a,hammer01,tableknife02,stairs,sponge01,baseball01a,thermometer02b,celery,calculator01,grape01,cucumber,tennisball01b,chain01,0,stairs,key01,apple07,ring01,leaf02a,hammer01,tableknife02,violin,sponge01,baseball01a,thermometer02b,celery,calculator01,grape01,cucumber,tennisball01b,chain01,0,7,7,350,,,,,,,,,,,,,,,,,,,,,50.44680140000128,51.44696249999106,51.44696249999106,52.068047099994146,52.068047099994146,None,53.18980989999545,54.19673399999738,right,1.158513899994432,53.18980989999545,None,54.38017609999224,None,left,0.05587740000919439,54.38017609999224,None,,,,,,,,,,,errorPics,001,2022-06-14_17h52.29.952,ABstudy,2022.1.4,59.94129350195492,
AB,Lag1_T1P_T2P,1,P,P,7,8,6,3,11,Moose,Did you see the Moose?,0.2,0.016,JPG\,sock01a,spoon01,umbrella04,comb02a,printer02,medal02b,moose,blender,greenolive,computerkeyboard02,cauliflower01,None,None,None,None,None,None,moose,sock01a,spoon01,umbrella04,comb02a,printer02,medal02b,lamp04a,bagel,greenolive,computerkeyboard02,cauliflower01,scarf,teabag,watermelon01,battery02b,potato02b,0,8,8,67,,,,,,,resources\JPG\umbrella04.jpg,resources\JPG\umbrella04.jpg,resources\JPG\umbrella04.jpg,resources\JPG\umbrella04.jpg,resources\JPG\umbrella04.jpg,resources\JPG\umbrella04.jpg,resources\JPG\umbrella04.jpg,resources\JPG\umbrella04.jpg,resources\JPG\umbrella04.jpg,resources\JPG\umbrella04.jpg,resources\JPG\umbrella04.jpg,resources\JPG\umbrella04.jpg,resources\JPG\umbrella04.jpg,resources\JPG\umbrella04.jpg,54.48350629999186,55.496761100002914,55.48014059998968,56.106839799991576,56.106839799991576,None,57.24124299999676,None,right,0.4782081000012113,57.24124299999676,None,57.74711280000338,None,left,0.04319290000421461,57.74711280000338,None,,,,,,,,,,,errorPics,001,2022-06-14_17h52.29.952,ABstudy,2022.1.4,59.94129350195492,
