TrialType,CondType,Lag,T1_PA,T2_PA,T1Loc,T2Loc,PreDistractor,PostDistractor,TotalImg,cueWord,T1cue,StimLength,isi,PicFolder,Img1,Img2,Img3,Img4,Img5,Img6,Img7,Img8,Img9,Img10,Img11,Img12,Img13,Img14,Img15,Img16,Img17,T1_Identity,Distractor1,Distractor2,Distractor3,Distractor4,Distractor5,Distractor6,Distractor7,Distractor8,Distractor9,Distractor10,Distractor11,Distractor12,Distractor13,Distractor14,Distractor15,Distractor16,Practice_Trials.thisRepN,Practice_Trials.thisTrialN,Practice_Trials.thisN,Practice_Trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Practice_Ins.started,Practice_Ins.stopped,End_Prac_Ins.keys,End_Prac_Ins.rt,End_Prac_Ins.started,End_Prac_Ins.stopped,text_2.started,text_2.stopped,Fixation_Cross_2.started,Fixation_Cross_2.stopped,Rapid_Image_Present_2.started,Rapid_Image_Present_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,T1Response_2.started,T1Response_2.stopped,T2Response_2.started,T2Response_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,missingPic,text.started,text.stopped,End_Instructions.keys,End_Instructions.rt,End_Instructions.started,End_Instructions.stopped,text_1.started,text_1.stopped,Fixation_Cross.started,Fixation_Cross.stopped,Rapid_Image_Present.started,Rapid_Image_Present.stopped,T1Response.started,T1Response.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,T2Response.started,T2Response.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.088146699999925,None,space,0.7928249000106007,29.088146699999925,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,errorPictures2,001,2022-06-15_09h20.49.337,ABstudy,2022.1.4,60.24357682954002,
AB,Lag1_T1P_T2P,1,P,P,8,9,7,5,14,Tennis racket,Did you see the Tennis racket?,0.5,0.016,JPG\,coconut,computermouse06,croissant01,deodorant02a,pillow01a,peanut01,boot02b,tennisracket,blender,crayon,eggplant,marker01a,plant01,radish01,blankImage,blankImage,blankImage,tennisracket,coconut,computermouse06,croissant01,deodorant02a,pillow01a,peanut01,boot02b,camera01a,chalk,crayon,eggplant,marker01a,plant01,radish01,tampon,tshirt,0,0,0,0,,,,,,,,,,,29.99451090002549,31.009802700020373,30.99315010002465,31.83415030001197,31.83415030001197,None,right,0.795705700002145,38.68764880002709,None,38.68764880002709,None,39.509663700009696,None,left,0.05474069999763742,39.509663700009696,None,,,,,,,,,,,,,,,,,,,,,,,,,,errorPictures2,001,2022-06-15_09h20.49.337,ABstudy,2022.1.4,60.24357682954002,
AB,Lag1_T1P_T2P,1,P,P,6,7,5,5,12,triangle,Did you see the triangle?,0.5,0.016,JPG\,ginger,mousetrap,plum01,slipper01b,coffeebeans,triangle,blender,pants,raspberry01,rope03,scale01a,vase01,blankImage,blankImage,blankImage,blankImage,blankImage,triangle,ginger,mousetrap,plum01,slipper01b,coffeebeans,cookie01,nailclipper03b,pants,raspberry01,rope03,scale01a,vase01,bottlecap,teapot,backpack01a,ball02,0,1,1,1,,,,,,,,,,,39.607266400009394,40.609663500013994,40.59304610002437,41.23303290002514,41.23303290002514,None,right,0.45984679998946376,47.28954750002595,None,47.28954750002595,None,47.77635920001194,None,left,0.06491430001915433,47.77635920001194,None,resources\JPG\coffeebeans.jpg,,,,,,,,,,,,,,,,,,,,,,,,,errorPictures2,001,2022-06-15_09h20.49.337,ABstudy,2022.1.4,60.24357682954002,
AB,Lag5_T1P_T2P,5,P,P,7,12,6,3,15,vacuum,Did you see the vacuum?,0.5,0.016,JPG\,fork07b,lightbulb01,manshoe,saw02b,shoelace,soap03a,vacuumcleaner01,floortile01,necklace,doll,cabbage,blender,hanger02a,laptop01a,nailpolish03b,blankImage,blankImage,vacuumcleaner01,fork07b,lightbulb01,manshoe,saw02b,shoelace,soap03a,tweezers02a,floortile01,necklace,doll,cabbage,diaper01c,hanger02a,laptop01a,nailpolish03b,puzzlepiece01,0,2,2,2,,,,,,,,,,,47.88272210001014,48.892983900004765,48.87646230001701,49.50765740001225,49.50765740001225,None,right,0.4335160000191536,56.98308120001457,None,56.98308120001457,None,57.442672500008484,None,left,0.06669129998772405,57.442672500008484,None,,,,,,,,,,,,,,,,,,,,,,,,,,errorPictures2,001,2022-06-15_09h20.49.337,ABstudy,2022.1.4,60.24357682954002,
AB,Lag5_T1P_T2P,5,P,P,5,10,4,5,15,Vulture,Did you see the Vulture?,0.5,0.016,JPG\,shorts01,toast,ramekin01,bib,vulture,cracker02,date,glasses01a,hat03b,blender,measuringtape01,nail,pill,brie,starfish01,blankImage,blankImage,vulture,shorts01,toast,ramekin01,bib,almonds,cracker02,date,glasses01a,hat03b,magnifyingglass01b,measuringtape01,nail,pill,brie,starfish01,teddybear02b,0,3,3,3,,,,,,,,,,,57.538778000016464,58.543046900012996,58.5263535999984,59.1531070000201,59.1531070000201,None,left,0.5393077000044286,66.69448500001454,None,66.69448500001454,None,67.2595915000129,None,right,0.06880109998746775,67.2595915000129,None,resources\JPG\brie.jpg,,,,,,,,,,,,,,,,,,,,,,,,,errorPictures2,001,2022-06-15_09h20.49.337,ABstudy,2022.1.4,60.24357682954002,
AB,Lag5_T1P_T2P,5,P,P,5,10,4,5,15,washing machine,Did you see the washing machine?,0.5,0.016,JPG\,waterbottle03,wheel01,flashlight02b,zucchini01,washingmachine,headphones02b,nutcracker01,paintroller01,paperclip03,blender,ribbon04,tambourine01,bottleofredwine01,pitabread,pot02a,blankImage,blankImage,washingmachine,waterbottle03,wheel01,flashlight02b,zucchini01,flyswatter,headphones02b,nutcracker01,paintroller01,paperclip03,partyhat,ribbon04,tambourine01,bottleofredwine01,pitabread,pot02a,qtip,0,4,4,4,,,,,,,,,,,67.36514690000331,68.37583610002184,68.35926630001632,68.98911910000606,68.98911910000606,None,right,0.4883568000223022,76.57299540002714,None,76.57299540002714,None,77.09245880000526,None,left,0.08091249997960404,77.09245880000526,None,resources\JPG\tambourine01.jpg,,,,,,,,,,,,,,,,,,,,,,,,,errorPictures2,001,2022-06-15_09h20.49.337,ABstudy,2022.1.4,60.24357682954002,
AB,Lag1_T1P_T2A,1,P,A,8,9,7,5,14,flower,Did you see the flower?,0.5,0.016,JPG\,razor01,axe01,binder03b,bowl01,kettle01,lettuce,lime,plasticflower01b,mitten04,pencilcase,plunger02,strawbasket01,toothpick02,wallet02a,blankImage,blankImage,blankImage,plasticflower01b,razor01,axe01,binder03b,bowl01,kettle01,lettuce,lime,lock03a,mitten04,pencilcase,plunger02,strawbasket01,toothpick02,wallet02a,carkeys,pickle01a,0,5,5,5,,,,,,,,,,,77.19927530002315,78.20907230000012,78.19250240002293,78.79689820000203,78.79689820000203,None,right,0.586362400004873,85.86226250001346,None,85.86226250001346,None,86.47565460001351,None,left,0.06317629999830388,86.47565460001351,None,resources\JPG\pencilcase.jpg,,,,,,,,,,,,,,,,,,,,,,,,,errorPictures2,001,2022-06-15_09h20.49.337,ABstudy,2022.1.4,60.24357682954002,
AB,Lag1_T1P_T2A,1,P,A,5,6,4,5,11,Webcam,Did you see the Webcam?,0.5,0.016,JPG\,pictureframe04,stapleremover,straw,adjustablewrench01b,webcam,cane,hairdryer02a,icepack,kiwi01a,lifejacket,piggybank,blankImage,blankImage,blankImage,blankImage,blankImage,blankImage,webcam,pictureframe04,stapleremover,straw,adjustablewrench01b,asparagus,cane,hairdryer02a,icepack,kiwi01a,lifejacket,piggybank,workglove02c,bandaid01,glassmop,hairclip03,remotecontrol04,0,6,6,6,,,,,,,,,,,86.57064350001747,87.57576920001884,87.5591226000106,88.17965970002115,88.17965970002115,None,right,0.5162605999794323,93.7450252000126,None,93.7450252000126,None,94.29213390001678,None,left,0.0708312000206206,94.29213390001678,None,resources\JPG\kiwi01a.jpg,,,,,,,,,,,,,,,,,,,,,,,,,errorPictures2,001,2022-06-15_09h20.49.337,ABstudy,2022.1.4,60.24357682954002,
AB,Lag5_T1P_T2A,5,P,A,6,11,5,5,16,Wheat,Did you see the Wheat?,0.5,0.016,JPG\,bottleopener01,dentalfloss03b,cooler01,icecreamcone01a,cup01,wheat,pencilsharpener02a,plasticbasket01a,toycar04,apricot,hairclip02,rock01a,honeydewmelon,antenna,blackberry,cardboardbox,blankImage,wheat,bottleopener01,dentalfloss03b,cooler01,icecreamcone01a,cup01,paintcan01,pencilsharpener02a,plasticbasket01a,toycar04,apricot,hairclip02,rock01a,honeydewmelon,antenna,blackberry,cardboardbox,0,7,7,7,,,,,,,,,,,94.43173010001192,95.44202310001128,95.42545150002115,96.06047560001025,96.06047560001025,None,right,0.4553925999789499,104.13494290001108,None,104.13494290001108,None,104.60873990002437,None,left,0.08433919999515638,104.60873990002437,None,resources\JPG\cup01.jpg,,,,,,,,,,,,,,,,,,,,,,,,,errorPictures2,001,2022-06-15_09h20.49.337,ABstudy,2022.1.4,60.24357682954002,
AB,Lag5_T1P_T2A,5,P,A,6,11,5,5,16,bread,Did you see the bread?,0.5,0.016,JPG\,cleaver01,clipboard,dustpan,hikingshoe01,notebook03a,baguette01,playingcard,pliers02b,raisins,rollingpin01a,swimgoggles,wineglass01,fryingpan02a,safetypin,syringe01,thimble,blankImage,baguette01,cleaver01,clipboard,dustpan,hikingshoe01,notebook03a,pillbottle,playingcard,pliers02b,raisins,rollingpin01a,swimgoggles,wineglass01,fryingpan02a,safetypin,syringe01,thimble,0,8,8,8,,,,,,,,,,,104.72590270001092,105.72528090002015,105.72528090002015,106.33366930001648,106.33366930001648,None,right,0.4365579000150319,114.46821440002532,None,114.46821440002532,None,114.9254633000237,None,left,0.06585859999177046,114.9254633000237,None,resources\JPG\raisins.jpg,,,,,,,,,,,,,,,,,,,,,,,,,errorPictures2,001,2022-06-15_09h20.49.337,ABstudy,2022.1.4,60.24357682954002,
