TrialType,CondType,Lag,T1_PA,T2_PA,T1Loc,T2Loc,PreDistractor,PostDistractor,TotalImg,cueWord,T1cue,StimLength,isi,PicFolder,Img1,Img2,Img3,Img4,Img5,Img6,Img7,Img8,Img9,Img10,Img11,Img12,Img13,Img14,Img15,Img16,Img17,T1_Identity,Practice_Trials.thisRepN,Practice_Trials.thisTrialN,Practice_Trials.thisN,Practice_Trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Practice_Ins.started,Practice_Ins.stopped,End_Prac_Ins.keys,End_Prac_Ins.rt,End_Prac_Ins.started,End_Prac_Ins.stopped,text_2.started,text_2.stopped,Fixation_Cross_2.started,Fixation_Cross_2.stopped,Rapid_Image_Present_2.started,Rapid_Image_Present_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,T1Response_2.started,T1Response_2.stopped,T2Response_2.started,T2Response_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,missingImage,text.started,text.stopped,End_Instructions.keys,End_Instructions.rt,End_Instructions.started,End_Instructions.stopped,text_1.started,text_1.stopped,Fixation_Cross.started,Fixation_Cross.stopped,Rapid_Image_Present.started,Rapid_Image_Present.stopped,T1Response.started,T1Response.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,T2Response.started,T2Response.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.99866369998199,None,space,0.814103199983947,22.99866369998199,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,missingImages,001,2022-06-15_10h04.19.544,ABstudy,2022.1.4,60.01655256197934,
AB,Lag1_T1P_T2P,1,P,P,8,9,7,5,14,Tennis racket,Did you see the Tennis racket?,0.5,0.016,JPG\,coconut,computermouse06,croissant01,deodorant02a,pillow01a,peanut01,boot02b,tennisracket,blender,crayon,eggplant,marker01a,plant01,radish01,blankImage,blankImage,blankImage,tennisracket,0,0,0,0,,,,,,,,,,,23.903501299995696,24.91394020000007,24.897285499988357,25.70276549999835,25.70276549999835,None,right,1.0303345000138506,32.57894109998597,None,32.57894109998597,33.580522500007646,33.693246299983,None,right,0.12934779998613521,33.693246299983,None,,,,,,,,,,,,,,,,,,,,,,,,,,missingImages,001,2022-06-15_10h04.19.544,ABstudy,2022.1.4,60.01655256197934,
AB,Lag1_T1P_T2P,1,P,P,6,7,5,5,12,triangle,Did you see the triangle?,0.5,0.016,JPG\,ginger,mousetrap,plum01,slipper01b,coffeebeans,triangle,blender,pants,raspberry01,rope03,scale01a,vase01,blankImage,blankImage,blankImage,blankImage,blankImage,triangle,0,1,1,1,,,,,,,,,,,33.858410499989986,34.86401759998989,34.84736859999248,35.522429999982705,35.522429999982705,None,right,1.1242667000042275,41.57055449998006,None,41.57055449998006,42.58028930000728,42.713776899996446,None,right,0.1463913999905344,42.713776899996446,None,resources\JPG\coffeebeans.jpg,,,,,,,,,,,,,,,,,,,,,,,,,missingImages,001,2022-06-15_10h04.19.544,ABstudy,2022.1.4,60.01655256197934,
AB,Lag5_T1P_T2P,5,P,P,7,12,6,3,15,vacuum,Did you see the vacuum?,0.5,0.016,JPG\,fork07b,lightbulb01,manshoe,saw02b,shoelace,soap03a,vacuumcleaner01,floortile01,necklace,doll,cabbage,blender,hanger02a,laptop01a,nailpolish03b,blankImage,blankImage,vacuumcleaner01,0,2,2,2,,,,,,,,,,,42.894962399994256,43.89697949998663,43.880335800000466,44.49066270000185,44.49066270000185,None,right,0.6373007000074722,52.01196859998163,None,52.01196859998163,None,52.680186199984746,None,right,0.19884870000532828,52.680186199984746,None,,,,,,,,,,,,,,,,,,,,,,,,,,missingImages,001,2022-06-15_10h04.19.544,ABstudy,2022.1.4,60.01655256197934,
AB,Lag5_T1P_T2P,5,P,P,5,10,4,5,15,Vulture,Did you see the Vulture?,0.5,0.016,JPG\,shorts01,toast,ramekin01,bib,vulture,cracker02,date,glasses01a,hat03b,blender,measuringtape01,nail,pill,brie,starfish01,blankImage,blankImage,vulture,0,3,3,3,,,,,,,,,,,52.958602200000314,53.963747700006934,53.94714499998372,54.56617809997988,54.56617809997988,None,right,0.507531499984907,62.13701179999043,None,62.13701179999043,None,62.663268200005405,None,right,0.16436500000418164,62.663268200005405,None,resources\JPG\brie.jpg,,,,,,,,,,,,,,,,,,,,,,,,,missingImages,001,2022-06-15_10h04.19.544,ABstudy,2022.1.4,60.01655256197934,
AB,Lag5_T1P_T2P,5,P,P,5,10,4,5,15,washing machine,Did you see the washing machine?,0.5,0.016,JPG\,waterbottle03,wheel01,flashlight02b,zucchini01,washingmachine,headphones02b,nutcracker01,paintroller01,paperclip03,blender,ribbon04,tambourine01,bottleofredwine01,pitabread,pot02a,blankImage,blankImage,washingmachine,0,4,4,4,,,,,,,,,,,62.86202490000869,63.8636193999846,63.84708020000835,64.45908460000646,64.45908460000646,None,right,0.42160609998973086,71.97217689998797,None,71.97217689998797,None,72.41319689998636,None,right,0.17390049999812618,72.41319689998636,None,resources\JPG\tambourine01.jpg,,,,,,,,,,,,,,,,,,,,,,,,,missingImages,001,2022-06-15_10h04.19.544,ABstudy,2022.1.4,60.01655256197934,
AB,Lag1_T1P_T2A,1,P,A,8,9,7,5,14,flower,Did you see the flower?,0.5,0.016,JPG\,razor01,axe01,binder03b,bowl01,kettle01,lettuce,lime,plasticflower01b,mitten04,pencilcase,plunger02,strawbasket01,toothpick02,wallet02a,blankImage,blankImage,blankImage,plasticflower01b,0,5,5,5,,,,,,,,,,,72.61701449999237,73.6301070000045,73.61331069999142,74.22434190000058,74.22434190000058,None,right,1.0639463000115938,81.28762309998274,None,81.28762309998274,82.29651119999471,82.37995549998595,None,right,0.11266740001155995,82.37995549998595,None,resources\JPG\pencilcase.jpg,,,,,,,,,,,,,,,,,,,,,,,,,missingImages,001,2022-06-15_10h04.19.544,ABstudy,2022.1.4,60.01655256197934,
AB,Lag1_T1P_T2A,1,P,A,5,6,4,5,11,Webcam,Did you see the Webcam?,0.5,0.016,JPG\,pictureframe04,stapleremover,straw,adjustablewrench01b,webcam,cane,hairdryer02a,icepack,kiwi01a,lifejacket,piggybank,blankImage,blankImage,blankImage,blankImage,blankImage,blankImage,webcam,0,6,6,6,,,,,,,,,,,82.53067000000738,83.52977950000786,83.52977950000786,84.15593969999463,84.15593969999463,None,right,0.6351051000237931,89.73172250000061,None,89.73172250000061,None,90.3965532000002,None,right,0.17294190000393428,90.3965532000002,None,resources\JPG\kiwi01a.jpg,,,,,,,,,,,,,,,,,,,,,,,,,missingImages,001,2022-06-15_10h04.19.544,ABstudy,2022.1.4,60.01655256197934,
AB,Lag5_T1P_T2A,5,P,A,6,11,5,5,16,Wheat,Did you see the Wheat?,0.5,0.016,JPG\,bottleopener01,dentalfloss03b,cooler01,icecreamcone01a,cup01,wheat,pencilsharpener02a,plasticbasket01a,toycar04,apricot,hairclip02,rock01a,honeydewmelon,antenna,blackberry,cardboardbox,blankImage,wheat,0,7,7,7,,,,,,,,,,,90.600827199989,91.61312389999512,91.59650580000016,92.2114300999965,92.2114300999965,None,right,1.0495222999888938,100.33838139998261,None,100.33838139998261,101.34608950000256,101.4127906000067,None,right,0.3496846000198275,101.4127906000067,None,resources\JPG\cup01.jpg,,,,,,,,,,,,,,,,,,,,,,,,,missingImages,001,2022-06-15_10h04.19.544,ABstudy,2022.1.4,60.01655256197934,
AB,Lag5_T1P_T2A,5,P,A,6,11,5,5,16,bread,Did you see the bread?,0.5,0.016,JPG\,cleaver01,clipboard,dustpan,hikingshoe01,notebook03a,baguette01,playingcard,pliers02b,raisins,rollingpin01a,swimgoggles,wineglass01,fryingpan02a,safetypin,syringe01,thimble,blankImage,baguette01,0,8,8,8,,,,,,,,,,,101.78676669998094,102.79602760000853,102.77940800000215,103.38944609998725,103.38944609998725,None,right,0.47966740000993013,111.49379099998623,None,111.49379099998623,None,111.99598529998912,None,right,0.13932020001811907,111.99598529998912,None,resources\JPG\raisins.jpg,,,,,,,,,,,,,,,,,,,,,,,,,missingImages,001,2022-06-15_10h04.19.544,ABstudy,2022.1.4,60.01655256197934,
