TrialType,CondType,Lag,T1_PA,T2_PA,T1Loc,T2Loc,PreDistractor,PostDistractor,TotalImg,cueWord,T1cue,StimLength,isi,PicFolder,Img1,Img2,Img3,Img4,Img5,Img6,Img7,Img8,Img9,Img10,Img11,Img12,Img13,Img14,Img15,Img16,Img17,T1_Identity,Practice_Trials.thisRepN,Practice_Trials.thisTrialN,Practice_Trials.thisN,Practice_Trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Practice_Ins.started,Practice_Ins.stopped,End_Prac_Ins.keys,End_Prac_Ins.rt,End_Prac_Ins.started,End_Prac_Ins.stopped,text_2.started,text_2.stopped,Fixation_Cross_2.started,Fixation_Cross_2.stopped,Rapid_Image_Present_2.started,Rapid_Image_Present_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,T1Response_2.started,T1Response_2.stopped,T2Response_2.started,T2Response_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text.started,text.stopped,End_Instructions.keys,End_Instructions.rt,End_Instructions.started,End_Instructions.stopped,text_5.started,text_5.stopped,FC.started,FC.stopped,Rapid_Image_Present.started,Rapid_Image_Present.stopped,T1Response.started,T1Response.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,T2Response.started,T2Response.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.604156199842691,None,space,1.2842151001095772,10.604156199842691,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,teswt,001,2022-06-16_11h40.43.690,ABstudy,2022.1.4,59.88052624505792,
AB,Lag1_T1P_T2P,1,P,P,8,9,7,5,14,Tennis racket,Did you see the Tennis racket?,0.2,0.016,JPG\,coconut,computermouse06,croissant01,deodorant02a,pillow01a,peanut01,boot02b,tennisracket,blender,crayon,eggplant,marker01a,plant01,radish01,blankImage,blankImage,blankImage,tennisracket,0,0,0,0,,,,,,,,,,,11.96975199971348,12.979449199512601,12.946249599568546,13.57122979965061,13.57122979965061,None,left,1.2238397002220154,16.42549719940871,None,16.42549719940871,17.433636999689043,17.667649500072002,None,left,0.17265400011092424,17.667649500072002,None,,,,,,,,,,,,,,,,,,,,,,,,,teswt,001,2022-06-16_11h40.43.690,ABstudy,2022.1.4,59.88052624505792,
AB,Lag1_T1P_T2P,1,P,P,6,7,5,5,12,triangle,Did you see the triangle?,0.2,0.016,JPG\,ginger,mousetrap,plum01,slipper01b,dropper01,triangle,blender,pants,raspberry01,rope03,scale01a,vase01,blankImage,blankImage,blankImage,blankImage,blankImage,triangle,0,1,1,1,,,,,,,,,,,17.876141399145126,18.88477209955454,18.86797669995576,19.45021429937333,19.45021429937333,None,left,0.49677160009741783,21.87218609917909,None,21.87218609917909,None,22.3882494000718,None,left,0.15667049959301949,22.3882494000718,None,,,,,,,,,,,,,,,,,,,,,,,,,teswt,001,2022-06-16_11h40.43.690,ABstudy,2022.1.4,59.88052624505792,
AB,Lag5_T1P_T2P,5,P,P,7,12,6,3,15,vacuum,Did you see the vacuum?,0.2,0.016,JPG\,fork07b,lightbulb01,manshoe,saw02b,shoelace,soap03a,vacuumcleaner01,floortile01,necklace,doll,cabbage,blender,hanger02a,laptop01a,nailpolish03b,blankImage,blankImage,vacuumcleaner01,0,2,2,2,,,,,,,,,,,22.5778997996822,23.59006469976157,23.57338299974799,24.154977799393237,24.154977799393237,None,left,0.4868267998099327,27.217616399750113,None,27.217616399750113,None,27.726801899261773,None,left,0.1538297003135085,27.726801899261773,None,,,,,,,,,,,,,,,,,,,,,,,,,teswt,001,2022-06-16_11h40.43.690,ABstudy,2022.1.4,59.88052624505792,
AB,Lag5_T1P_T2P,5,P,P,5,10,4,5,15,Vulture,Did you see the Vulture?,0.2,0.016,JPG\,shorts01,toast,ramekin01,bib,vulture,cracker02,date,glasses01a,hat03b,blender,measuringtape01,nail,pill,drum01,starfish01,blankImage,blankImage,vulture,0,3,3,3,,,,,,,,,,,27.92007409967482,28.928058299236,28.911337599158287,29.493014399893582,29.493014399893582,None,left,13.452699599787593,32.54825869947672,None,32.54825869947672,33.549806899391115,46.028676899150014,None,left,0.14104120060801506,46.028676899150014,None,,,,,,,,,,,,,,,,,,,,,,,,,teswt,001,2022-06-16_11h40.43.690,ABstudy,2022.1.4,59.88052624505792,
AB,Lag5_T1P_T2P,5,P,P,5,10,4,5,15,washing machine,Did you see the washing machine?,0.2,0.016,JPG\,waterbottle03,wheel01,flashlight02b,zucchini01,washingmachine,headphones02b,nutcracker01,paintroller01,paperclip03,blender,ribbon04,electricrazor,bottleofredwine01,pitabread,pot02a,blankImage,blankImage,washingmachine,0,4,4,4,,,,,,,,,,,46.25402179919183,47.26355919986963,47.24690099991858,47.83986959978938,47.83986959978938,None,left,1.0713805006816983,50.769820999354124,None,50.769820999354124,51.78472069930285,51.86821709945798,None,left,0.10978289972990751,51.86821709945798,None,,,,,,,,,,,,,,,,,,,,,,,,,teswt,001,2022-06-16_11h40.43.690,ABstudy,2022.1.4,59.88052624505792,
AB,Lag1_T1P_T2A,1,P,A,8,9,7,5,14,flower,Did you see the flower?,0.2,0.016,JPG\,razor01,axe01,binder03b,bowl01,kettle01,lettuce,lime,plasticflower01b,mitten04,pencilcase01,plunger02,strawbasket01,toothpick02,wallet02a,blankImage,blankImage,blankImage,plasticflower01b,0,5,5,5,,,,,,,,,,,52.070056200027466,53.06930329930037,53.06930329930037,53.6518748998642,53.6518748998642,None,left,0.3639727998524904,56.4052817998454,None,56.4052817998454,None,56.789347999729216,None,left,0.13182719983160496,56.789347999729216,None,,,,,,,,,,,,,,,,,,,,,,,,,teswt,001,2022-06-16_11h40.43.690,ABstudy,2022.1.4,59.88052624505792,
AB,Lag1_T1P_T2A,1,P,A,5,6,4,5,11,Webcam,Did you see the Webcam?,0.2,0.016,JPG\,pictureframe04,stapleremover,straw,adjustablewrench01b,webcam,cane,hairdryer02a,icepack,kitchenscale01a,lifejacket,piggybank,blankImage,blankImage,blankImage,blankImage,blankImage,blankImage,webcam,0,6,6,6,,,,,,,,,,,56.946891899220645,57.9570350991562,57.94038280006498,58.523116699419916,58.523116699419916,None,left,1.7310493998229504,60.74295099917799,None,60.74295099917799,61.74417819920927,62.49492389988154,None,left,0.1140590999275446,62.49492389988154,None,,,,,,,,,,,,,,,,,,,,,,,,,teswt,001,2022-06-16_11h40.43.690,ABstudy,2022.1.4,59.88052624505792,
AB,Lag5_T1P_T2A,5,P,A,6,11,5,5,16,Wheat,Did you see the Wheat?,0.2,0.016,JPG\,bottleopener01,dentalfloss03b,cooler01,icecreamcone01a,paperclip01b,wheat,pencilsharpener02a,plasticbasket01a,toycar04,apricot,hairclip02,rock01a,honeydewmelon,antenna,blackberry,cardboardbox,blankImage,wheat,0,7,7,7,,,,,,,,,,,62.63094179984182,63.64606009982526,63.61268140003085,64.18637569993734,64.18637569993734,None,left,1.4565488994121552,67.43295959942043,None,67.43295959942043,68.4346931995824,68.91901319939643,None,left,0.11342860013246536,68.91901319939643,None,,,,,,,,,,,,,,,,,,,,,,,,,teswt,001,2022-06-16_11h40.43.690,ABstudy,2022.1.4,59.88052624505792,
AB,Lag5_T1P_T2A,5,P,A,6,11,5,5,16,bread,Did you see the bread?,0.2,0.016,JPG\,cleaver01,clipboard,dustpan,hikingshoe01,notebook03a,baguette01,playingcard,pliers02b,styrofoamcup,rollingpin01a,swimgoggles,wineglass01,fryingpan02a,safetypin,syringe01,thimble,blankImage,baguette01,0,8,8,8,,,,,,,,,,,69.05805779993534,70.06929589994252,70.05260369926691,70.63307499978691,70.63307499978691,None,left,1.6489864001050591,73.84751799982041,None,73.84751799982041,74.85784660000354,75.52527769934386,None,left,0.11537920031696558,75.52527769934386,None,,,,,,,,,,,,,,,,,,,,,,,,,teswt,001,2022-06-16_11h40.43.690,ABstudy,2022.1.4,59.88052624505792,
